SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
59,Axium Crisis,あくしうむ,ak+q,170.0,1094,Tairitsu,Vicious Labyrinth,1.05,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Axium Crisis/::ref/Axium Crisis.jpg.webp,0,0,False
76,Singularity,シンギュラ,ETIA.,175.0,1105,Tairitsu,Binary Enfold,1.06,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Singularity/::ref/Singularity.jpg.webp,0,0,False
89,Halcyon,はるしおん,xi,191.0,1227,Hikari,Luminous Sky,1.07,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Halcyon/::ref/Halcyon.jpg.webp,0,0,False
111,ouroboros -twin stroke of the end-,ウロボ,Cranky VS MASAKI,188.0,1369,Tairitsu,Groove Coaster,1.09,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/ouroboros -twin stroke of the end-/::ref/ouroboros -twin stroke of the end-.jpg.webp,0,0,False
120,Cyaegha,しあえが,USAO,200.0,1368,Tairitsu,Absolute Reason,2.0,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Cyaegha/::ref/Cyaegha.jpg.webp,0,0,False
126,World Vanquisher,バンキシャ,Void (Mournfinale),170.0,1452,Hikari,CHUNITHM,2.01,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/World Vanquisher/::ref/World Vanquisher.jpg.webp,0,0,False
131,Ringed Genesis,リンジェネ,Edelritter,160.0,1146,Hikari,Adverse Prelude,2.02,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Ringed Genesis/::ref/Ringed Genesis.jpg.webp,0,0,False
159,Dantalion,ダンタ,Team Grimoire,186.0,1476,Tairitsu,Black Fate,3.0,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Dantalion/::ref/Dantalion.jpg.webp,0,0,False
160,#1f1e33,カラコ,かめりあ(EDP),181.0,1576,Tairitsu,Black Fate,3.0,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/_1f1e33/::ref/%231f1e33-2.jpg.webp,0,0,False
161,Tempestissimo,テンペ,t+pazolite,231.0,1254,Tairitsu,Black Fate,3.0,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Tempestissimo/::ref/Tempestissimo.jpg.webp,0,0,False
184,BUCHiGiRE Berserker,ブチギレ,REDALiCE vs MASAKI,200.0,1412,Tairitsu,Memory Archive,3.02,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/BUCHiGiRE Berserker/::ref/BUCHiGiRE Berserker.jpg.webp,0,0,False
203,ω4,けつよん,穴山大輔 VS 光吉猛修 VS Kai,192.0,1393,Hikari,O.N.G.E.K.I.,3.04,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/ω4/::ref/ω4.jpg.webp,0,0,False
207,AMAZING MIGHTYYYY!!!!,アメマイ,WAiKURO,185.0,1249,Tairitsu,maimai,3.04,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/AMAZING MIGHTYYYY!!!!/::ref/AMAZING MIGHTYYYY!!!!.jpg,0,0,False
211,業 -善なる神とこの世の悪について-,業,光吉猛修 VS 穴山大輔,190.0,1522,Hikari,CHUNITHM,3.05,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E6%A5%AD%20-%E5%96%84%E3%81%AA%E3%82%8B%E7%A5%9E%E3%81%A8%E3%81%93%E3%81%AE%E4%B8%96%E3%81%AE%E6%82%AA%E3%81%AB%E3%81%A4%E3%81%84%E3%81%A6-/::ref/Misdeed%20-la%20bonte%20de%20Dieu%20et%20l%27origine%20du%20mal-.jpg.webp,0,0,False
230,烈華RESONANCE,れっか,REDALiCE vs Kobaryo,240.0,1212,Hikari,Memory Archive,3.06,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E7%83%88%E8%8F%AFRESONANCE/::ref/REKKA%20RESONANCE.jpg.webp,0,0,False
237,光速神授説 - Divine Light of Myriad -,光速,yoho,172.0,1021,Hikari,Esoteric Order,3.07,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E5%85%89%E9%80%9F%E7%A5%9E%E6%8E%88%E8%AA%AC%20-%20Divine%20Light%20of%20Myriad%20-/::ref/Divine%20Light%20of%20Myriad.jpg.webp,0,0,False
245,GENOCIDER,ジェノ,DJ Myosuke,390.0,1483,Tairitsu,WACCA,3.08,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/GENOCIDER/::ref/GENOCIDER.jpg.webp,0,0,False
268,Heavensdoor,天門,LeaF,240.0,1534,Tairitsu,Adverse Prelude,3.1,,,,,10.7,10.8,https://cdn.wikiwiki.jp/to/w/arcaea/Heavensdoor/::ref/Heavensdoor-b.jpg.webp,0,0,False
287,Stasis,すたーしす,Maozon,180.0,1521,Hikari,Lanota,3.12,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Stasis/::ref/Stasis.jpg.webp,0,0,False
307,Testify,てすてぃふぁい,Void (Mournfinale) feat. 星熊南巫,178.0,1766,,Final Verdict,4.0,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Testify/::ref/Testify.jpg.webp,0,0,False
311,"Infinite Strife,",インフィニット,BlackYooh vs. siromaru,198.0,1633,Tairitsu,Final Verdict,4.0,,,,,10.7,10.9,https://cdn.wikiwiki.jp/to/w/arcaea/Infinite%20Strife%2C/::ref/Infinite%20Strife.jpg.webp,0,0,False
322,LAMIA,らみあ,BlackY,199.0,1385,Tairitsu,O.N.G.E.K.I,4.01,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/LAMIA/::ref/LAMIA.jpg.webp,0,0,False
342,TEmPTaTiON,テンプテ,かねこちはる,160.0,1099,Hikari,maimai,4.03,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/TEmPTaTiON/::ref/TEmPTaTiON.jpg.webp,0,0,False
343,PRIMITIVE LIGHTS,プリライ,TAG,205.0,1524,Hikari,Memory Archive,4.03,10.7,10.7,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/PRIMITIVE LIGHTS/::ref/PRIMITIVE LIGHTS.jpg.webp,0,0,False
350,蜘蛛の糸,くものいと,きくお×cosMo@暴走P feat.影縫英,180.0,1203,Tairitsu,CHUNITHM,4.04,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E8%9C%98%E8%9B%9B%E3%81%AE%E7%B3%B8/::ref/Spider%27s%20Thread.jpg.webp,0,0,False
366,CHAOS,かおす,AEsir,150.0,1369,Tairitsu,Cytus II,4.05,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/CHAOS/::ref/CHAOS.jpg.webp,0,0,False
372,II,つー,Cytus,150.0,1051,Tairitsu,Cytus II,4.06,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Ⅱ/::ref/Ⅱ.jpg.webp,0,0,False
395,TeraVolt,てらぼると,Katali,154.0,1008,Tairitsu,Severed Eden,5.01,10.7,10.9,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/TeraVolt/::ref/TeraVolt.jpg.webp,0,0,False
400,Meta-Mysteria,メタミス,DJ Noriken,205.0,1309,Hikari,WACCA,5.02,10.7,10.8,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Meta-Mysteria/::ref/Meta-Mysteria.jpg.webp,0,0,False
