SortNo,Music_Title,Nickname,Artist,BPM,Noes,Side,Pack,Version,FTR_Level,FTR_Const,ETR_Level,ETR_Const,BYD_Level,BYD_Const,Image,Point,Count,Flag
9,Lost Civilization,ろすとしびらいぜーしょん,Laur vs CK,210.0,986,Tairitsu,Arcaea,1.0,9.0,9.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Lost Civilization/::ref/Lost Civilization.jpg.webp,1,0,False
10,GOODTEK(Arcaea Edit),グッテク,EBIMAYO,190.0,968,Hikari,Arcaea,1.0,9.0,9.3,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/GOODTEK (Arcaea Edit)/::ref/GOODTEK (Arcaea Edit).jpg.webp,1,0,False
11,qualia -ideaesthesia-,クアリア,nitro,144.0,1022,Tairitsu,Arcaea,1.0,9.0,9.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/qualia -ideaesthesia-/::ref/qualia -ideaesthesia-.jpg,0,1,False
17,Essence of Twilight,えっせんすおぶとわいらいと,ak+q,164.0,1204,Tairitsu,Eternal Core,1.0,9.0,9.1,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Essence of Twilight/::ref/Essence of Twilight.jpg.webp,1,0,False
23,Anökumene,あねくめね,Jun Kuroda,186.0,851,Tairitsu,Arcaea,1.0,9.0,9.2,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Anokumene/::ref/Anokumene.jpg.webp,1,0,False
27,フライブルクとエンドロウル,フライブルク,アリスシャッハと魔法の楽団,180.0,930,Hikari,Crimson Solace,1.0,9.0,9.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E3%83%95%E3%83%A9%E3%82%A4%E3%83%96%E3%83%AB%E3%82%AF%E3%81%A8%E3%82%A8%E3%83%B3%E3%83%89%E3%83%AD%E3%82%A6%E3%83%AB/::ref/Flyburg%20and%20Endroll.jpg.webp,0,1,False
28,Party Vinyl,パーティヴァイナル,モリモリあつし,132.0,800,Hikari,Crimson Solace,1.0,9.0,9.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/Party Vinyl/::ref/Party Vinyl.jpg.webp,1,0,False
31,神奈川電脳暗渠,神奈川,南ゆに,180.0,1111,Hikari,Arcaea,1.01,9.0,9.0,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/%E7%A5%9E%E5%A5%88%E5%B7%9D%E9%9B%BB%E8%84%B3%E6%9A%97%E6%B8%A0/::ref/Kanagawa%20Cyber%20Culvert.jpg.webp,0,1,False
32,DataErr0r,デタエラ,Cosmograph,180.0,955,Tairitsu,Memory Archive,1.01,9.0,9.5,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/DataErr0r/::ref/DataErr0r.jpg.webp,0,1,False
33,CROSS♰SOUL‪,くろすそうる,Hyun feat. Syepias,200.0,1081,Tairitsu,Memory Archive,1.01,9.0,9.4,,,,,https://cdn.wikiwiki.jp/to/w/arcaea/CROSS†SOUL/::ref/CROSS†SOUL.jpg.webp,1,0,False
